voice,voice_slug,dialog,seed,duration_seconds,wav,direction,text,voice_description
Goblin,04_goblin,cautious_suspicion,61874,12.4,voice-design-options/monster-voices/04_goblin/02_cautious_suspicion_seed_61874.wav,"The goblin lowers his energy and becomes wary and suspicious. Keep the high wiry voice and nasal character, but slow him slightly and make him listen carefully between phrases.","Something isn't right. The bats stopped making noise three tunnels ago, and bats never stop making noise. I think we should turn around very quietly and pretend we were never foolish enough to come down here.","A small adult male goblin with a high-pitched wiry slightly nasal voice, thin raspy timbre, quick speech, sharp consonants, and restless expressive energy. Crafty, greedy, suspicious, clever, and easily excited. His voice should be unusual and recognizable but not so squeaky or exaggerated that ordinary dialogue becomes difficult to understand."
Goblin,04_goblin,annoyed_excitement,61874,15.36,voice-design-options/monster-voices/04_goblin/03_annoyed_excitement_seed_61874.wav,"The goblin becomes animated and indignant, speaking faster with stronger emphasis, but do not push into screaming or cartoonish squealing. Keep the underlying voice stable.","You opened the chest without me? I spent three days finding that chest! I crawled through mud, spiders, and one extremely rude mushroom for that treasure. At the very least, I deserve first choice of anything unnecessarily shiny.","A small adult male goblin with a high-pitched wiry slightly nasal voice, thin raspy timbre, quick speech, sharp consonants, and restless expressive energy. Crafty, greedy, suspicious, clever, and easily excited. His voice should be unusual and recognizable but not so squeaky or exaggerated that ordinary dialogue becomes difficult to understand."
Orc Warrior,05_orc_warrior,steady_command,69793,10.96,voice-design-options/monster-voices/05_orc_warrior/01_steady_command_seed_69793.wav,"The orc speaks in his normal characteristic voice with calm battlefield authority. Deep, gravelly, direct, and confident, using short deliberate phrases without unnecessary aggression.","Stay close and keep your eyes on the ridge. The enemy knows this valley better than we do, so let them make the first mistake. When they move, we move together. Nobody wanders off trying to become a hero.","A large adult male orc warrior with a deep baritone voice, broad chest resonance, coarse gravelly timbre, firm articulation, and strong physical presence. Blunt, fearless, practical, impatient, and battle-hardened. Powerful and intimidating without needing to shout. The roughness should remain natural enough for warm, quiet, and forceful speech."
Orc Warrior,05_orc_warrior,protective_calm,69793,14.88,voice-design-options/monster-voices/05_orc_warrior/02_protective_calm_seed_69793.wav,The orc speaks more softly and patiently while retaining his deep coarse baritone. He sounds protective and reassuring rather than intimidating.,You're all right. That cut looks worse than it is. Sit here for a moment and breathe. I've seen warriors twice your size panic over less. Being frightened doesn't matter. What matters is that you got back on your feet.,"A large adult male orc warrior with a deep baritone voice, broad chest resonance, coarse gravelly timbre, firm articulation, and strong physical presence. Blunt, fearless, practical, impatient, and battle-hardened. Powerful and intimidating without needing to shout. The roughness should remain natural enough for warm, quiet, and forceful speech."
Orc Warrior,05_orc_warrior,firm_anger,69793,11.44,voice-design-options/monster-voices/05_orc_warrior/03_firm_anger_seed_69793.wav,The orc becomes strongly angry but controlled. Increase vocal force and gravelly emphasis without roaring or shouting. He sounds dangerous because he is restraining himself.,"You were told to leave the village alone. I gave you that choice because I prefer solving problems without bloodshed. If you cross that bridge again, you will discover exactly how much patience I was showing you.","A large adult male orc warrior with a deep baritone voice, broad chest resonance, coarse gravelly timbre, firm articulation, and strong physical presence. Blunt, fearless, practical, impatient, and battle-hardened. Powerful and intimidating without needing to shout. The roughness should remain natural enough for warm, quiet, and forceful speech."
Ogre,06_ogre,ordinary_thoughtful,77712,21.04,voice-design-options/monster-voices/06_ogre/01_ordinary_thoughtful_seed_77712.wav,"The ogre speaks in his normal characteristic voice, slowly and thoughtfully, with enormous warm bass resonance and natural pauses while he works through an idea.","Ogre thinks there is another way across river. Bridge looks small, and Ogre is not small. Maybe we walk upstream until rocks get closer together. Takes longer, yes, but falling into river takes even longer if somebody has to pull Ogre back out.","A huge middle-aged male ogre with a very deep bass voice, thick heavy resonance, and rough but warm timbre. Slow speech, thoughtful pauses, and slightly clumsy but understandable articulation. Simple, stubborn, physically enormous, and unexpectedly gentle. His identity should come from size, resonance, pacing, and personality rather than exaggerated stupidity."
Ogre,06_ogre,gentle_reassurance,77712,15.84,voice-design-options/monster-voices/06_ogre/02_gentle_reassurance_seed_77712.wav,"The ogre speaks softly and carefully, trying to reassure someone much smaller. Preserve his huge bass voice but make the delivery warm, patient, and tender.","You don't have to hide behind tree. Ogre knows big teeth look scary, but Ogre is not going to eat anybody. Come sit by fire. There is soup, warm blanket, and enough room on log for one very small queen.","A huge middle-aged male ogre with a very deep bass voice, thick heavy resonance, and rough but warm timbre. Slow speech, thoughtful pauses, and slightly clumsy but understandable articulation. Simple, stubborn, physically enormous, and unexpectedly gentle. His identity should come from size, resonance, pacing, and personality rather than exaggerated stupidity."
Ogre,06_ogre,stubborn_annoyance,77712,17.52,voice-design-options/monster-voices/06_ogre/03_stubborn_annoyance_seed_77712.wav,"The ogre becomes moderately irritated and stubborn. His voice grows firmer and heavier, with stronger emphasis, but he does not bellow or lose control.","Ogre already said no. Little wizard can explain spell again, and again, and maybe seventeen more times, but answer is still no. If ancient door says do not open, perhaps ancient door knows what it is talking about.","A huge middle-aged male ogre with a very deep bass voice, thick heavy resonance, and rough but warm timbre. Slow speech, thoughtful pauses, and slightly clumsy but understandable articulation. Simple, stubborn, physically enormous, and unexpectedly gentle. His identity should come from size, resonance, pacing, and personality rather than exaggerated stupidity."
Werewolf,07_werewolf,watchful_normal,85631,14.08,voice-design-options/monster-voices/07_werewolf/01_watchful_normal_seed_85631.wav,"The werewolf speaks in his characteristic normal voice: low, tense, slightly breathy and rough, constantly alert but fully controlled. He sounds like someone accustomed to noticing danger before everyone else.","We're being followed. Whoever it is has kept the same distance since sunset and knows enough to stay downwind. Don't turn around. Keep walking normally until we reach the stones, then we'll decide whether we want to meet them.","An adult male werewolf with a low tense baritone voice, dark breathy rasp, strong chest resonance, slightly rough edges, and a subtle restrained animalistic quality. Alert, intense, predatory, protective, and constantly maintaining self-control. His speech should sound fundamentally human and versatile, with the wolfish character remaining underneath rather than dominating every line."
Werewolf,07_werewolf,quiet_protective,85631,14.8,voice-design-options/monster-voices/07_werewolf/02_quiet_protective_seed_85631.wav,"The werewolf speaks softly and reassuringly. Retain the dark rasp and low resonance, but reduce the tension and reveal a protective, surprisingly gentle side.","You can sleep. I'll keep watch until morning. Nothing in these woods will come near the camp while I'm awake. And if you hear something moving beyond the firelight, don't worry. Chances are, it already knows I'm here.","An adult male werewolf with a low tense baritone voice, dark breathy rasp, strong chest resonance, slightly rough edges, and a subtle restrained animalistic quality. Alert, intense, predatory, protective, and constantly maintaining self-control. His speech should sound fundamentally human and versatile, with the wolfish character remaining underneath rather than dominating every line."
Werewolf,07_werewolf,restrained_threat,85631,14.16,voice-design-options/monster-voices/07_werewolf/03_restrained_threat_seed_85631.wav,"The werewolf becomes intensely threatening without growling heavily or shouting. Darker tone, stronger chest resonance, careful pauses, and tightly controlled anger.","Walk away. I am asking nicely because there are children behind me, and I would prefer they not see what happens next. Take your men, take your weapons, and leave this forest while that choice still belongs to you.","An adult male werewolf with a low tense baritone voice, dark breathy rasp, strong chest resonance, slightly rough edges, and a subtle restrained animalistic quality. Alert, intense, predatory, protective, and constantly maintaining self-control. His speech should sound fundamentally human and versatile, with the wolfish character remaining underneath rather than dominating every line."
Ghost Woman,08_ghost_woman,gentle_presence,93550,14.56,voice-design-options/monster-voices/08_ghost_woman/01_gentle_presence_seed_93550.wav,"The ghost speaks in her natural characteristic voice: soft, airy, serene, and slightly distant. She is calm and approachable, with quiet sadness beneath the words.","You can see me, can't you? It has been such a long time since anyone looked directly at me. Please don't be frightened. I have no wish to harm you. I only hoped someone might finally listen.","A mysterious adult female ghost with a soft pale airy soprano voice, light breathy timbre, gentle high register, smooth articulation, and delicate phrase endings. Distant, sorrowful, kind, mysterious, and emotionally restrained. Her ghostly identity should come from softness, breathiness, and unusual calm rather than artificial effects or constant whispering."
Ghost Woman,08_ghost_woman,warm_memory,93550,14.8,voice-design-options/monster-voices/08_ghost_woman/02_warm_memory_seed_93550.wav,"The ghost speaks with restrained warmth and nostalgia. Maintain her airy soprano and delicate delivery, but allow more affection and life into the voice.","There used to be music in this room every evening. My sisters would dance beside the windows while I played the little piano in the corner. Sometimes, when the moon is bright enough, I can almost hear them again.","A mysterious adult female ghost with a soft pale airy soprano voice, light breathy timbre, gentle high register, smooth articulation, and delicate phrase endings. Distant, sorrowful, kind, mysterious, and emotionally restrained. Her ghostly identity should come from softness, breathiness, and unusual calm rather than artificial effects or constant whispering."
Ghost Woman,08_ghost_woman,quiet_urgency,93550,12.64,voice-design-options/monster-voices/08_ghost_woman/03_quiet_urgency_seed_93550.wav,The ghost becomes urgently serious without raising her voice much. Slightly quicker pacing and firmer articulation while preserving the soft ethereal character.,"You must leave before the clock strikes twelve. The thing beneath this house wakes when the final bell rings, and once it notices you, locked doors will not matter. Please believe me and go while you still can.","A mysterious adult female ghost with a soft pale airy soprano voice, light breathy timbre, gentle high register, smooth articulation, and delicate phrase endings. Distant, sorrowful, kind, mysterious, and emotionally restrained. Her ghostly identity should come from softness, breathiness, and unusual calm rather than artificial effects or constant whispering."
Cave Troll,09_cave_troll,grumpy_normal,101469,18.8,voice-design-options/monster-voices/09_cave_troll/01_grumpy_normal_seed_101469.wav,"The troll speaks in his normal characteristic voice with weary irritation, rough gravel, dry humor, and the sense that visitors are generally an inconvenience.","Another traveler. Wonderful. Let me guess: cursed treasure, missing princess, mysterious prophecy? Nobody comes to my cave anymore just to have a pleasant conversation. Sit down if you must, but wipe your boots before you ruin the moss.","An older male cave troll with a low rough baritone voice, thick gravelly timbre, slightly nasal resonance, heavy uneven rhythm, and slow-to-moderate speech. Irritable, suspicious, stubborn, ancient, physically large, and unexpectedly dryly funny. His roughness should remain consistent while allowing ordinary conversation and softer moments."
Cave Troll,09_cave_troll,dry_storytelling,101469,15.36,voice-design-options/monster-voices/09_cave_troll/02_dry_storytelling_seed_101469.wav,"The troll relaxes into an old storyteller's voice. Keep the gravelly low baritone and slightly nasal quality, but add warmth, patience, and understated amusement.","There was a wizard here once who claimed he could turn stones into gold. Very impressive trick. Unfortunately, he demonstrated it on the stones holding up my ceiling. That is why I no longer allow wizards to perform indoors.","An older male cave troll with a low rough baritone voice, thick gravelly timbre, slightly nasal resonance, heavy uneven rhythm, and slow-to-moderate speech. Irritable, suspicious, stubborn, ancient, physically large, and unexpectedly dryly funny. His roughness should remain consistent while allowing ordinary conversation and softer moments."
Cave Troll,09_cave_troll,territorial_warning,101469,14.96,voice-design-options/monster-voices/09_cave_troll/03_territorial_warning_seed_101469.wav,The troll becomes firm and intimidating without roaring. He speaks more slowly with heavier emphasis and unmistakable territorial authority.,"This bridge belongs to me. I built it before your grandfather's grandfather was born, and I have repaired it after every flood since. You may cross if you ask politely. You may not cross by threatening me.","An older male cave troll with a low rough baritone voice, thick gravelly timbre, slightly nasal resonance, heavy uneven rhythm, and slow-to-moderate speech. Irritable, suspicious, stubborn, ancient, physically large, and unexpectedly dryly funny. His roughness should remain consistent while allowing ordinary conversation and softer moments."
Ancient Dragon,10_ancient_dragon,regal_conversation,109388,16.88,voice-design-options/monster-voices/10_ancient_dragon/01_regal_conversation_seed_109388.wav,"The dragon speaks in her natural characteristic voice: calm, regal, resonant, precise, and effortlessly authoritative. She is curious about the listener but never loses her dignity.","So this is the child everyone has been whispering about. Come closer, little queen. I have watched kingdoms rise and vanish from these mountains, yet somehow your name has traveled farther than armies. I would like to know why.","An ancient female dragon with a deep contralto voice, exceptionally rich resonance, smooth dark timbre, and subtle smoky roughness. Low pitch for a female speaker, precise articulation, regal pacing, enormous calm authority, intelligence, pride, patience, and restrained danger. Her voice should remain elegant and recognizable across warmth, amusement, and anger."
Ancient Dragon,10_ancient_dragon,ancient_warmth,109388,18.72,voice-design-options/monster-voices/10_ancient_dragon/02_ancient_warmth_seed_109388.wav,"The dragon speaks more gently, with patient wisdom and subtle affection. Preserve the rich low contralto and regal resonance while allowing warmth and faint amusement into the delivery.","You remind me of someone I knew many centuries ago. She was small, stubborn, and absolutely convinced every locked door existed specifically for her to open. She caused enormous trouble. I was very fond of her.","An ancient female dragon with a deep contralto voice, exceptionally rich resonance, smooth dark timbre, and subtle smoky roughness. Low pitch for a female speaker, precise articulation, regal pacing, enormous calm authority, intelligence, pride, patience, and restrained danger. Her voice should remain elegant and recognizable across warmth, amusement, and anger."
Ancient Dragon,10_ancient_dragon,controlled_displeasure,109388,16.56,voice-design-options/monster-voices/10_ancient_dragon/03_controlled_displeasure_seed_109388.wav,"The dragon becomes deeply displeased but remains perfectly controlled. Darken the timbre slightly, strengthen emphasis, and add quiet intensity without shouting or snarling.",You entered my sanctuary without permission and disturbed something that has slept peacefully for nine hundred years. I will assume this was ignorance rather than disrespect. Explain yourself carefully before I decide whether that assumption was generous.,"An ancient female dragon with a deep contralto voice, exceptionally rich resonance, smooth dark timbre, and subtle smoky roughness. Low pitch for a female speaker, precise articulation, regal pacing, enormous calm authority, intelligence, pride, patience, and restrained danger. Her voice should remain elegant and recognizable across warmth, amusement, and anger."
